Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      4.74     0.00      492     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::regex_traits<char>::_RegexMask const*, std::vector<std::__cxx11::regex_traits<char>::_RegexMask, std::allocator<std::__cxx11::regex_traits<char>::_RegexMask> > >::base() const
  0.00      4.74     0.00      492     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::end() const
  0.00      4.74     0.00      492     0.00     0.00  std::vector<char, std::allocator<char> >::size() const
  0.00      4.74     0.00      492     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::data()
  0.00      4.74     0.00      492     0.00     0.00  char const* std::__miter_base<char const*>(char const*)
  0.00      4.74     0.00      492     0.00     0.00  char const* std::__niter_base<char const*>(char const*)
  0.00      4.74     0.00      280     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const
  0.00      4.74     0.00      265     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_set_length(unsigned long)
  0.00      4.74     0.00      265     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_length(unsigned long)
  0.00      4.74     0.00      262     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      4.74     0.00      260     0.00     0.00  std::_Base_bitset<4ul>::_S_maskbit(unsigned long)
  0.00      4.74     0.00      260     0.00     0.00  std::_Base_bitset<4ul>::_S_whichword(unsigned long)
  0.00      4.74     0.00      259     0.00     0.00  std::__detail::_RegexTranslator<std::__cxx11::regex_traits<char>, false, false>::_M_translate(char) const
  0.00      4.74     0.00      258     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::difference_type __gnu_cxx::operator-<char const*, std::vector<char, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > const&)
  0.00      4.74     0.00      257     0.00     0.00  std::ctype<char>::is(unsigned short, char) const
  0.00      4.74     0.00      257     0.00     0.00  std::bitset<256ul>::size() const
  0.00      4.74     0.00      256     0.00     0.00  __gnu_cxx::__ops::__iter_less_val()
  0.00      4.74     0.00      256     0.00     0.00  bool __gnu_cxx::operator==<std::pair<char, char> const*, std::vector<std::pair<char, char>, std::allocator<std::pair<char, char> > > >(__gnu_cxx::__normal_iterator<std::pair<char, char> const*, std::vector<std::pair<char, char>, std::allocator<std::pair<char, char> > > > const&, __gnu_cxx::__normal_iterator<std::pair<char, char> const*, std::vector<std::pair<char, char>, std::allocator<std::pair<char, char> > > > const&)
