x y v
9.37167 -0.7569 0.4954 
 
9.41769 -0.7306 0.6447 
 
9.46466 -0.6969 0.7901 
 
9.51271 -0.6555 0.9302 
 
9.56189 -0.6064 1.063 
 
9.61211 -0.5499 1.186 
 
9.66313 -0.4865 1.297 
 
9.7145 -0.4174 1.392 
 
9.76572 -0.344 1.469 
 
9.8164 -0.2681 1.526 
 
9.86638 -0.1908 1.564 
 
9.91568 -0.1132 1.582 
 
9.96439 -0.03608 1.58 
 
10 0.02001 1.568 
 
