t x y
2 0.611979 0.0972498
2.01 0.620631 0.0949587
2.02 0.62942 0.0927298
2.03 0.638347 0.0905614
2.04 0.647415 0.0884519
2.05 0.656626 0.0863995
2.06 0.66598 0.0844027
2.07 0.675482 0.0824597
2.08 0.685132 0.0805688
2.09 0.694932 0.0787287
2.1 0.704885 0.0769382
2.11 0.714994 0.0751959
2.12 0.72526 0.0735007
2.13 0.735686 0.0718512
2.14 0.746275 0.0702464
2.15 0.757027 0.0686848
2.16 0.767947 0.0671654
2.17 0.779036 0.0656868
2.18 0.790296 0.0642478
2.19 0.80173 0.0628472
2.2 0.81334 0.061484
2.21 0.82513 0.0601573
2.22 0.837101 0.0588662
2.23 0.849257 0.0576098
2.24 0.861601 0.0563873
2.25 0.874134 0.0551977
2.26 0.886861 0.0540403
2.27 0.899784 0.052914
2.28 0.912905 0.051818
2.29 0.926227 0.0507514
2.3 0.939753 0.0497134
2.31 0.953486 0.048703
2.32 0.967429 0.0477196
2.33 0.981585 0.0467624
2.34 0.995958 0.0458309
2.35 1.01055 0.0449245
2.36 1.02537 0.0440426
2.37 1.04041 0.0431846
2.38 1.05568 0.0423498
2.39 1.07119 0.0415377
2.4 1.08693 0.0407476
2.41 1.10291 0.039979
2.42 1.11914 0.0392312
2.43 1.13561 0.0385036
2.44 1.15233 0.0377957
2.45 1.16931 0.0371069
2.46 1.18655 0.0364367
2.47 1.20404 0.0357848
2.48 1.2218 0.0351508
2.49 1.23984 0.0345343
2.5 1.25814 0.0339348
2.51 1.27673 0.0333519
2.52 1.2956 0.0327852
2.53 1.31475 0.0322344
2.54 1.33419 0.031699
2.55 1.35393 0.0311785
2.56 1.37397 0.0306727
2.57 1.39431 0.030181
2.58 1.41496 0.0297033
2.59 1.43592 0.0292391
2.6 1.4572 0.0287883
2.61 1.4788 0.0283505
2.62 1.50072 0.0279255
2.63 1.52298 0.027513
2.64 1.54558 0.0271127
2.65 1.56851 0.0267244
2.66 1.5918 0.0263477
2.67 1.61543 0.0259825
2.68 1.63942 0.0256284
2.69 1.66378 0.0252851
2.7 1.6885 0.0249525
2.71 1.71359 0.0246303
2.72 1.73906 0.0243185
2.73 1.76492 0.0240168
2.74 1.79116 0.0237251
2.75 1.8178 0.0234432
2.76 1.84485 0.0231709
2.77 1.8723 0.022908
2.78 1.90016 0.0226543
2.79 1.92845 0.0224097
