t x y
9.77 0.234926 0.844984
9.78 0.236497 0.821946
9.79 0.238133 0.799549
9.8 0.239833 0.777776
9.81 0.241597 0.756608
9.82 0.243425 0.736029
9.83 0.245317 0.716023
9.84 0.247272 0.696575
9.85 0.24929 0.677669
9.86 0.251372 0.65929
9.87 0.253517 0.641422
9.88 0.255725 0.624051
9.89 0.257997 0.607165
9.9 0.260332 0.590749
9.91 0.262731 0.574792
9.92 0.265194 0.559279
9.93 0.26772 0.544198
9.94 0.270311 0.529536
9.95 0.272967 0.515283
9.96 0.275687 0.501428
9.97 0.278473 0.487959
9.98 0.281324 0.474866
9.99 0.284241 0.462136
10 0.287224 0.449761
10.01 0.290274 0.43773
10.02 0.293391 0.426034
10.03 0.296576 0.414665
10.04 0.299829 0.403612
10.05 0.303151 0.392866
10.06 0.306542 0.382419
10.07 0.310003 0.372262
10.08 0.313534 0.362388
10.09 0.317137 0.352788
10.1 0.320811 0.343456
10.11 0.324558 0.334383
10.12 0.328378 0.325562
10.13 0.332271 0.316985
10.14 0.336239 0.308646
10.15 0.340283 0.300539
10.16 0.344403 0.292657
10.17 0.348599 0.284993
10.18 0.352874 0.277543
10.19 0.357227 0.270298
10.2 0.36166 0.263254
10.21 0.366173 0.256405
10.22 0.370768 0.249745
10.23 0.375444 0.24327
10.24 0.380205 0.236974
10.25 0.385049 0.230852
10.26 0.389979 0.2249
10.27 0.394995 0.219111
10.28 0.400098 0.213482
10.29 0.40529 0.208008
10.3 0.410571 0.202685
10.31 0.415943 0.19751
10.32 0.421406 0.192477
10.33 0.426963 0.187583
10.34 0.432614 0.182823
10.35 0.43836 0.178194
10.36 0.444203 0.173692
10.37 0.450143 0.169313
10.38 0.456183 0.165056
10.39 0.462323 0.160915
10.4 0.468565 0.156888
10.41 0.474911 0.152971
10.42 0.48136 0.149162
10.43 0.487916 0.145457
10.44 0.494579 0.141853
10.45 0.50135 0.138347
10.46 0.508232 0.134937
10.47 0.515226 0.131621
10.48 0.522334 0.128396
10.49 0.529556 0.125258
10.5 0.536894 0.122207
10.51 0.544351 0.119238
10.52 0.551927 0.11635
10.53 0.559625 0.11354
10.54 0.567445 0.110807
10.55 0.575391 0.108148
10.56 0.583463 0.105561
10.57 0.591664 0.103045
10.58 0.599994 0.100598
10.59 0.608457 0.0982167
10.6 0.617054 0.0959
10.61 0.625786 0.0936458
10.62 0.634656 0.0914523
10.63 0.643665 0.0893182
10.64 0.652816 0.0872418
10.65 0.662111 0.0852217
10.66 0.671551 0.0832563
10.67 0.68114 0.0813442
10.68 0.690879 0.0794838
10.69 0.700769 0.0776736
10.7 0.710814 0.0759121
10.71 0.721015 0.0741979
10.72 0.731375 0.0725295
10.73 0.741896 0.070906
10.74 0.75258 0.0693261
10.75 0.76343 0.0677888
10.76 0.774448 0.066293
10.77 0.785638 0.0648376
10.78 0.797 0.0634214
10.79 0.808538 0.0620433
10.8 0.820255 0.0607024
10.81 0.832152 0.0593973
10.82 0.844232 0.0581271
10.83 0.856497 0.0568907
10.84 0.868952 0.0556873
10.85 0.881598 0.0545162
10.86 0.894438 0.0533765
10.87 0.907476 0.0522675
10.88 0.920714 0.0511883
10.89 0.934156 0.0501383
10.9 0.947804 0.0491167
10.91 0.961661 0.0481226
10.92 0.975731 0.0471553
10.93 0.990015 0.046214
10.94 1.00452 0.0452979
10.95 1.01924 0.0444064
10.96 1.03419 0.0435386
10.97 1.04937 0.0426941
10.98 1.06478 0.0418723
10.99 1.08042 0.0410728
11 1.0963 0.0402949
11.01 1.11243 0.0395382
11.02 1.1288 0.0388021
11.03 1.14542 0.0380861
11.04 1.16229 0.0373896
11.05 1.17942 0.0367121
11.06 1.19681 0.0360531
11.07 1.21446 0.035412
11.08 1.23238 0.0347884
11.09 1.25058 0.0341818
11.1 1.26904 0.033592
11.11 1.28779 0.0330185
11.12 1.30683 0.0324609
11.13 1.32615 0.031919
11.14 1.34577 0.0313923
11.15 1.36568 0.0308804
11.16 1.3859 0.030383
11.17 1.40642 0.0298997
11.18 1.42725 0.0294302
11.19 1.4484 0.028974
11.2 1.46987 0.0285309
11.21 1.49166 0.0281006
11.22 1.51378 0.0276829
11.23 1.53623 0.0272774
11.24 1.55903 0.026884
11.25 1.58217 0.0265025
11.26 1.60565 0.0261325
11.27 1.6295 0.0257738
11.28 1.6537 0.0254262
11.29 1.67827 0.0250893
11.3 1.70321 0.0247631
11.31 1.72853 0.0244471
11.32 1.75422 0.0241413
11.33 1.78031 0.0238454
11.34 1.80679 0.0235594
11.35 1.83366 0.023283
11.36 1.86094 0.0230161
11.37 1.88863 0.0227586
11.38 1.91674 0.0225103
11.39 1.94528 0.022271
11.4 1.97424 0.0220406
11.41 2.00364 0.0218189
11.42 2.03348 0.0216058
11.43 2.06377 0.0214012
11.44 2.09451 0.0212049
11.45 2.12571 0.021017
11.46 2.15739 0.0208373
11.47 2.18954 0.0206657
11.48 2.22217 0.0205022
11.49 2.25529 0.0203468
11.5 2.28892 0.0201993
11.51 2.32304 0.0200597
11.52 2.35768 0.0199278
11.53 2.39284 0.0198037
11.54 2.42852 0.0196873
11.55 2.46474 0.0195786
11.56 2.5015 0.0194776
11.57 2.53881 0.0193842
11.58 2.57668 0.0192987
11.59 2.61512 0.0192208
11.6 2.65413 0.0191508
11.61 2.69373 0.0190885
11.62 2.73392 0.019034
11.63 2.77471 0.0189874
11.64 2.81611 0.0189486
11.65 2.85813 0.0189177
11.66 2.90077 0.0188947
11.67 2.94406 0.0188799
11.68 2.98799 0.0188734
11.69 3.03257 0.0188752
11.7 3.07782 0.0188857
11.71 3.12375 0.0189048
11.72 3.17036 0.0189327
11.73 3.21766 0.0189696
11.74 3.26567 0.0190156
11.75 3.3144 0.0190709
11.76 3.36384 0.0191356
11.77 3.41403 0.01921
11.78 3.46495 0.0192944
11.79 3.51664 0.0193892
11.8 3.56909 0.0194947
11.81 3.62232 0.0196113
11.82 3.67634 0.0197392
11.83 3.73117 0.0198788
11.84 3.7868 0.0200304
11.85 3.84326 0.0201944
11.86 3.90055 0.020371
11.87 3.95869 0.0205608
11.88 4.01769 0.0207643
11.89 4.07756 0.0209823
11.9 4.13831 0.0212156
11.91 4.19995 0.0214649
11.92 4.26251 0.0217308
11.93 4.32598 0.0220143
11.94 4.39039 0.0223159
11.95 4.45574 0.0226364
11.96 4.52205 0.0229766
11.97 4.58933 0.0233371
11.98 4.65759 0.023719
11.99 4.72685 0.0241235
12 4.79712 0.0245521
12.01 4.86841 0.0250064
12.02 4.94073 0.0254876
12.03 5.01411 0.0259974
12.04 5.08855 0.0265371
12.05 5.16407 0.0271082
12.06 5.24068 0.0277122
12.07 5.3184 0.0283505
12.08 5.39723 0.0290245
12.09 5.47719 0.0297362
12.1 5.5583 0.0304888
12.11 5.64057 0.0312862
12.12 5.724 0.0321323
12.13 5.80862 0.0330308
12.14 5.89443 0.0339857
12.15 5.98144 0.0350008
12.16 6.06968 0.0360799
12.17 6.15915 0.0372269
12.18 6.24986 0.0384456
12.19 6.34183 0.0397399
12.2 6.43507 0.0411136
12.21 6.52959 0.0425712
12.22 6.6254 0.0441203
12.23 6.72251 0.0457698
12.24 6.82093 0.0475283
12.25 6.92066 0.0494048
12.26 7.02171 0.0514078
12.27 7.12409 0.0535463
12.28 7.2278 0.055829
12.29 7.33286 0.0582669
12.3 7.43925 0.0608757
12.31 7.54698 0.0636719
12.32 7.65605 0.0666719
12.33 7.76645 0.0698922
12.34 7.87817 0.0733493
12.35 7.99123 0.0770597
12.36 8.1056 0.0810457
12.37 8.22126 0.0853373
12.38 8.3382 0.0899644
12.39 8.45639 0.0949576
12.4 8.57581 0.100347
12.41 8.69644 0.106163
12.42 8.81823 0.11245
12.43 8.94115 0.119258
12.44 9.06512 0.12664
12.45 9.1901 0.134648
12.46 9.31604 0.143335
12.47 9.44286 0.152772
12.48 9.57046 0.163042
12.49 9.69872 0.174232
12.5 9.82757 0.186427
12.51 9.95687 0.199723
12.52 10.0865 0.214248
12.53 10.2162 0.230137
12.54 10.3458 0.247522
12.55 10.4753 0.266555
12.56 10.6042 0.287429
12.57 10.7323 0.310345
12.58 10.8594 0.335506
12.59 10.9851 0.363162
12.6 11.1091 0.3936
12.61 11.2308 0.427112
12.62 11.3499 0.464024
12.63 11.4658 0.504731
12.64 11.5779 0.549636
12.65 11.6856 0.599182
12.66 11.7882 0.653895
12.67 11.8848 0.714313
12.68 11.9746 0.781033
12.69 12.0567 0.854733
12.7 12.1299 0.936105
12.71 12.1931 1.02593
12.72 12.245 1.12502
12.73 12.2844 1.23424
12.74 12.3098 1.35451
12.75 12.3197 1.48677
12.76 12.3126 1.63196
12.77 12.2867 1.79104
12.78 12.2405 1.96492
12.79 12.1723 2.15444
12.8 12.0806 2.36038
12.81 11.964 2.58328
12.82 11.821 2.8236
12.83 11.6507 3.08145
12.84 11.4524 3.3566
12.85 11.2254 3.64865
12.86 10.9701 3.95646
12.87 10.6867 4.27873
12.88 10.3765 4.61363
12.89 10.0412 4.95854
12.9 9.6829 5.31077
12.91 9.30424 5.66718
12.92 8.90859 6.02409
12.93 8.49945 6.37775
12.94 8.08074 6.72428
12.95 7.65651 7.05975
12.96 7.23074 7.38051
12.97 6.80735 7.68319
12.98 6.39011 7.96462
12.99 5.98222 8.22243
13 5.58669 8.45448
13.01 5.20593 8.6594
13.02 4.8418 8.83635
13.03 4.49591 8.98486
13.04 4.16904 9.10527
13.05 3.86187 9.19804
13.06 3.57454 9.26412
13.07 3.30673 9.30492
13.08 3.05808 9.32181
13.09 2.82803 9.31636
13.1 2.6157 9.29034
13.11 2.42018 9.24554
13.12 2.24046 9.18371
13.13 2.07552 9.1066
13.14 1.92435 9.0159
13.15 1.78593 8.91316
13.16 1.65924 8.79995
13.17 1.54337 8.67765
13.18 1.4374 8.54756
13.19 1.34049 8.41091
13.2 1.25187 8.26876
13.21 1.17079 8.12212
13.22 1.09658 7.97191
13.23 1.02865 7.8189
13.24 0.966406 7.66386
13.25 0.909345 7.50741
13.26 0.857006 7.35012
13.27 0.808939 7.19254
13.28 0.764776 7.03509
13.29 0.724171 6.87816
13.3 0.686784 6.72213
13.31 0.652342 6.56727
13.32 0.620592 6.41385
13.33 0.591284 6.26211
13.34 0.564204 6.11225
13.35 0.539173 5.96441
13.36 0.516013 5.81873
13.37 0.494555 5.67536
13.38 0.474661 5.53439
13.39 0.456212 5.39587
13.4 0.439085 5.25988
13.41 0.423163 5.12648
13.42 0.408355 4.99569
13.43 0.39458 4.86755
13.44 0.381759 4.74205
13.45 0.36981 4.61922
13.46 0.358665 4.49907
13.47 0.348271 4.38156
13.48 0.338575 4.26669
13.49 0.329526 4.15444
13.5 0.321071 4.04479
13.51 0.313167 3.93772
13.52 0.305779 3.83319
13.53 0.298877 3.73116
13.54 0.292431 3.63161
13.55 0.286409 3.53449
13.56 0.28078 3.43976
13.57 0.275515 3.3474
13.58 0.270593 3.25735
13.59 0.265995 3.16957
13.6 0.261704 3.08402
13.61 0.2577 3.00066
13.62 0.253966 2.91944
13.63 0.250485 2.84031
13.64 0.247244 2.76323
13.65 0.244232 2.68816
13.66 0.241437 2.61506
13.67 0.238847 2.54387
13.68 0.236449 2.47456
13.69 0.234235 2.40708
13.7 0.232195 2.3414
13.71 0.230324 2.27746
13.72 0.228612 2.21523
13.73 0.227053 2.15466
13.74 0.225638 2.09572
13.75 0.224362 2.03836
13.76 0.22322 1.98255
13.77 0.222206 1.92825
13.78 0.221315 1.87541
13.79 0.220543 1.82401
13.8 0.219885 1.77401
13.81 0.219336 1.72536
13.82 0.218895 1.67804
13.83 0.218556 1.63201
13.84 0.218317 1.58724
13.85 0.218174 1.5437
13.86 0.218125 1.50135
13.87 0.218167 1.46016
13.88 0.218298 1.4201
13.89 0.218516 1.38114
13.9 0.218817 1.34326
13.91 0.219201 1.30641
13.92 0.219665 1.27059
13.93 0.220208 1.23575
13.94 0.220828 1.20188
13.95 0.221525 1.16894
13.96 0.222295 1.13691
13.97 0.223138 1.10577
13.98 0.224054 1.07549
13.99 0.22504 1.04605
14 0.226097 1.01743
14.01 0.227222 0.989601
14.02 0.228416 0.962544
14.03 0.229677 0.936238
14.04 0.231005 0.910662
14.05 0.2324 0.885798
14.06 0.23386 0.861626
14.07 0.235386 0.838125
14.08 0.236976 0.815278
14.09 0.238631 0.793066
14.1 0.24035 0.771472
14.11 0.242133 0.75048
14.12 0.243979 0.730073
14.13 0.24589 0.710234
14.14 0.247863 0.690947
14.15 0.2499 0.672197
14.16 0.252 0.653969
14.17 0.254164 0.636249
14.18 0.256391 0.619024
14.19 0.258682 0.602278
14.2 0.261036 0.585999
14.21 0.263453 0.570173
14.22 0.265935 0.554788
14.23 0.268481 0.539832
14.24 0.271091 0.525293
14.25 0.273766 0.511159
14.26 0.276505 0.497419
14.27 0.27931 0.484061
14.28 0.282181 0.471075
14.29 0.285117 0.458451
14.3 0.28812 0.446179
14.31 0.29119 0.434249
14.32 0.294327 0.422651
14.33 0.297532 0.411375
14.34 0.300805 0.400412
14.35 0.304147 0.389755
14.36 0.307559 0.379394
14.37 0.31104 0.369322
14.38 0.314593 0.359531
14.39 0.318216 0.350011
14.4 0.321912 0.340755
14.41 0.32568 0.331756
14.42 0.329521 0.323007
14.43 0.333437 0.314502
14.44 0.337427 0.306233
14.45 0.341494 0.298193
14.46 0.345636 0.290376
14.47 0.349856 0.282776
14.48 0.354153 0.275386
14.49 0.35853 0.2682
14.5 0.362986 0.261214
14.51 0.367524 0.254422
14.52 0.372142 0.247818
14.53 0.376844 0.241397
14.54 0.381628 0.235152
14.55 0.386498 0.22908
14.56 0.391453 0.223176
14.57 0.396494 0.217434
14.58 0.401623 0.211852
14.59 0.406842 0.206424
14.6 0.41215 0.201146
14.61 0.417549 0.196013
14.62 0.42304 0.191021
14.63 0.428625 0.186166
14.64 0.434304 0.181445
14.65 0.440079 0.176854
14.66 0.445951 0.172389
14.67 0.45192 0.168047
14.68 0.457989 0.163824
14.69 0.464158 0.159717
14.7 0.470429 0.155722
14.71 0.476803 0.151836
14.72 0.483282 0.148057
14.73 0.489868 0.144382
14.74 0.496563 0.140807
14.75 0.503368 0.137331
14.76 0.510285 0.13395
14.77 0.517315 0.130662
14.78 0.524461 0.127464
14.79 0.531723 0.124353
14.8 0.539102 0.121328
14.81 0.5466 0.118384
14.82 0.554215 0.115521
14.83 0.561951 0.112735
14.84 0.569806 0.110023
14.85 0.577783 0.107385
14.86 0.585881 0.104816
14.87 0.594102 0.102315
14.88 0.602448 0.0998792
14.89 0.610926 0.0975092
14.9 0.619539 0.0952037
14.91 0.628293 0.0929619
14.92 0.637193 0.090783
14.93 0.646243 0.0886664
14.94 0.65545 0.0866113
14.95 0.664818 0.0846169
14.96 0.674351 0.0826824
14.97 0.684053 0.0808064
14.98 0.693895 0.0789783
14.99 0.703831 0.0771823
15 0.713814 0.0754023
