phi,u_circular,v_circular
1.74 1 0.50714 0.513595
1.75 1 0.508007 0.514494
1.76 1 0.508923 0.515441
1.77 1 0.509888 0.516438
1.78 1 0.510902 0.517483
1.79 1 0.511965 0.518576
1.8 1 0.513076 0.519718
1.81 1 0.514237 0.520908
1.82 1 0.515445 0.522147
1.83 1 0.516703 0.523433
1.84 1 0.518009 0.524768
1.85 1 0.519362 0.52615
1.86 1 0.520764 0.52758
1.87 1 0.522214 0.529057
1.88 1 0.523712 0.530582
1.89 1 0.525257 0.532154
1.9 1 0.52685 0.533773
1.91 1 0.52849 0.535439
1.92 1 0.530177 0.537152
1.93 1 0.531911 0.538911
1.94 1 0.533692 0.540717
1.95 1 0.53552 0.542569
1.96 1 0.537394 0.544467
1.97 1 0.539315 0.54641
1.98 1 0.541281 0.5484
1.99 1 0.543293 0.550435
2 1 0.545351 0.552515
2.01 1 0.547455 0.55464
2.02 1 0.549603 0.55681
2.03 1 0.551797 0.559025
2.04 1 0.554036 0.561284
2.05 1 0.556319 0.563587
2.06 1 0.558646 0.565935
2.07 1 0.561018 0.568326
2.08 1 0.563434 0.57076
2.09 1 0.565893 0.573238
2.1 1 0.568395 0.575759
2.11 1 0.570941 0.578322
2.12 1 0.57353 0.580928
2.13 1 0.576161 0.583576
2.14 1 0.578835 0.586266
2.15 1 0.581551 0.588998
2.16 1 0.584308 0.591772
2.17 1 0.587108 0.594586
2.18 1 0.589948 0.597442
2.19 1 0.59283 0.600338
2.2 1 0.595752 0.603274
2.21 1 0.598714 0.606251
2.22 1 0.601717 0.609267
2.23 1 0.60476 0.612322
2.24 1 0.607842 0.615417
2.25 1 0.610963 0.618551
2.26 1 0.614124 0.621723
2.27 1 0.617323 0.624933
2.28 1 0.62056 0.628181
2.29 1 0.623835 0.631467
2.3 1 0.627147 0.63479
2.31 1 0.630497 0.63815
2.32 1 0.633884 0.641547
2.33 1 0.637308 0.644979
2.34 1 0.640768 0.648448
2.35 1 0.644263 0.651952
2.36 1 0.647795 0.655492
2.37 1 0.651361 0.659066
2.38 1 0.654963 0.662675
2.39 1 0.658598 0.666319
2.4 1 0.662268 0.669995
2.41 1 0.665972 0.673706
2.42 1 0.669709 0.677449
2.43 1 0.67348 0.681225
2.44 1 0.677283 0.685034
2.45 1 0.681118 0.688874
2.46 1 0.684985 0.692747
2.47 1 0.688883 0.69665
2.48 1 0.692813 0.700584
2.49 1 0.696773 0.704548
2.5 1 0.700764 0.708543
2.51 1 0.704785 0.712567
2.52 1 0.708835 0.716621
2.53 1 0.712914 0.720703
2.54 1 0.717022 0.724814
2.55 1 0.721158 0.728953
2.56 1 0.725322 0.733119
2.57 1 0.729514 0.737313
2.58 1 0.733733 0.741533
2.59 1 0.737978 0.74578
2.6 1 0.742249 0.750053
2.61 1 0.746547 0.754351
2.62 1 0.750869 0.758675
2.63 1 0.755217 0.763023
2.64 1 0.759589 0.767396
2.65 1 0.763985 0.771792
2.66 1 0.768404 0.776212
2.67 1 0.772847 0.780655
2.68 1 0.777313 0.78512
2.69 1 0.7818 0.789607
2.7 1 0.78631 0.794117
2.71 1 0.790841 0.798647
2.72 1 0.795393 0.803198
2.73 1 0.799965 0.807769
2.74 1 0.804558 0.812361
2.75 1 0.80917 0.816971
2.76 1 0.8138 0.821601
2.77 1 0.81845 0.826249
2.78 1 0.823118 0.830915
2.79 1 0.827803 0.835599
2.8 1 0.832506 0.8403
2.81 1 0.837225 0.845018
2.82 1 0.841961 0.849752
2.83 1 0.846713 0.854501
2.84 1 0.851479 0.859266
2.85 1 0.856261 0.864046
2.86 1 0.861057 0.86884
2.87 1 0.865867 0.873648
2.88 1 0.87069 0.878469
2.89 1 0.875527 0.883304
2.9 1 0.880375 0.88815
2.91 1 0.885236 0.893009
2.92 1 0.890108 0.897879
2.93 1 0.894991 0.90276
2.94 1 0.899885 0.907652
2.95 1 0.904789 0.912554
2.96 1 0.909702 0.917465
2.97 1 0.914624 0.922386
2.98 1 0.919555 0.927315
2.99 1 0.924494 0.932252
3 1 0.92944 0.937197
3.01 1 0.934393 0.942149
3.02 1 0.939353 0.947108
3.03 1 0.944319 0.952072
3.04 1 0.949291 0.957043
3.05 1 0.954268 0.962019
3.06 1 0.959249 0.966999
3.07 1 0.964234 0.971984
3.08 1 0.969223 0.976972
3.09 1 0.974215 0.981964
3.1 1 0.97921 0.986959
3.11 1 0.984206 0.991955
3.12 1 0.989205 0.996954
3.13 1 0.994204 1.00195
3.14 1 0.999204 1.00695
3.15 1 1.0042 1.01196
3.16 1 1.0092 1.01696
3.17 1 1.0142 1.02196
3.18 1 1.0192 1.02696
3.19 1 1.02419 1.03195
3.2 1 1.02919 1.03695
3.21 1 1.03418 1.04194
3.22 1 1.03916 1.04693
3.23 1 1.04415 1.05192
3.24 1 1.04912 1.0569
3.25 1 1.0541 1.06188
3.26 1 1.05907 1.06685
3.27 1 1.06403 1.07181
3.28 1 1.06898 1.07677
3.29 1 1.07393 1.08173
3.3 1 1.07887 1.08668
3.31 1 1.08381 1.09162
3.32 1 1.08873 1.09655
3.33 1 1.09365 1.10147
3.34 1 1.09855 1.10638
3.35 1 1.10345 1.11129
3.36 1 1.10834 1.11618
3.37 1 1.11321 1.12107
3.38 1 1.11808 1.12594
3.39 1 1.12293 1.13081
3.4 1 1.12777 1.13566
3.41 1 1.1326 1.14049
3.42 1 1.13741 1.14532
3.43 1 1.14221 1.15013
3.44 1 1.147 1.15493
3.45 1 1.15177 1.15972
3.46 1 1.15653 1.16448
3.47 1 1.16127 1.16924
3.48 1 1.16599 1.17398
