0.2 0.324722 -0.115537 0.0629654 0.0409144 
0.4 0.532417 -0.186011 0.101024 0.0655653 
0.6 0.654716 -0.221139 0.119327 0.0772669 
0.8 0.715651 -0.228987 0.122249 0.0788593 
1 0.733367 -0.216221 0.113488 0.0727628 
1.2 0.721461 -0.188314 0.096153 0.0610271 
1.4 0.690033 -0.149731 0.0728343 0.0453754 
1.6 0.646504 -0.104086 0.045677 0.0272441 
1.8 0.596258 -0.0542748 0.0164386 0.00781877 
2 0.543127 -0.00259268 -0.0134575 -0.0119346 
2.2 0.489783 0.0491673 -0.0428749 -0.0312403 
2.4 0.438029 0.0996299 -0.0709237 -0.0494882 
2.6 0.389023 0.147765 -0.0969231 -0.06621 
2.8 0.343455 0.192828 -0.120371 -0.0810601 
3 0.301677 0.234305 -0.140913 -0.0937966 
3.2 0.263804 0.271871 -0.158324 -0.104266 
3.4 0.229784 0.305352 -0.172479 -0.11239 
3.6 0.199459 0.334694 -0.183342 -0.11815 
3.8 0.172602 0.359937 -0.190945 -0.121579 
4 0.148947 0.381193 -0.195375 -0.122753 
4.2 0.128213 0.398628 -0.196765 -0.121778 
4.4 0.110114 0.412446 -0.195281 -0.118788 
4.6 0.0943755 0.422879 -0.191113 -0.113935 
4.8 0.0807333 0.430176 -0.18447 -0.107385 
5 0.0689432 0.434595 -0.175572 -0.099314 
5.2 0.0587807 0.436395 -0.164643 -0.0899018 
5.4 0.050042 0.435835 -0.151913 -0.0793312 
5.6 0.0425441 0.433165 -0.137606 -0.0677834 
5.8 0.0361234 0.428628 -0.121945 -0.0554367 
6 0.0306353 0.422454 -0.105143 -0.0424638 
6.2 0.0259521 0.414862 -0.0874059 -0.0290309 
6.4 0.021962 0.406055 -0.068929 -0.0152958 
6.6 0.0185671 0.396223 -0.0498965 -0.00140785 
6.8 0.0156827 0.385541 -0.0304807 0.0124937 
7 0.0132349 0.374168 -0.0108416 0.0262795 
7.2 0.01116 0.362252 0.00887323 0.0398306 
7.4 0.00940314 0.349924 0.0285289 0.0530386 
7.6 0.00791707 0.337304 0.0480028 0.0658058 
7.8 0.00666125 0.324498 0.0671844 0.0780447 
8 0.00560094 0.3116 0.0859753 0.0896781 
8.2 0.00470646 0.298695 0.104288 0.100639 
8.4 0.00395248 0.285855 0.122047 0.110869 
8.6 0.00331741 0.273144 0.139184 0.120321 
8.8 0.00278288 0.260617 0.155645 0.128953 
9 0.00233326 0.248321 0.171382 0.136736 
9.2 0.00195532 0.236294 0.186357 0.143645 
9.4 0.00163783 0.22457 0.200538 0.149663 
9.6 0.00137127 0.213174 0.213903 0.154782 
9.8 0.00114759 0.202128 0.226435 0.158998 
10 0.000959998 0.191449 0.238124 0.162313 
10.2 0.00080275 0.181148 0.248965 0.164735 
10.4 0.000671002 0.171233 0.258959 0.166276 
10.6 0.00056067 0.161709 0.26811 0.166954 
